id,year,raubkunst,falsch,emi,sammlunglink,buehrlelink,gloornummer,knstlerin,titel,entstehungszeit,medium,dimensionen,werkverzeichnis,vorbesitzerin,nsraubkunst0usachfr,besitz,yyyy,yyyy0vor,whrung,kaufpreis,kaufpreischf,kaufpreis000chf,kaufpreismillionenchf,epoche,stadt,dd,mm,quartal,weiteretitel,emigrationverfolgung,flschung,inventarnummer,signatur,provenienz,ausstellungen,literatur,lebensdaten
001_Heckel_Alpsee,1923,DE,,,,,1,Erich Heckel,Alpsee,um 1923,Aquarell auf Papier,"58,5 × 46 cm",,Kaiser-Friedrich-Museum,DE (?),Privatbesitz,1923,vor 1936,CHF,GESCHENK,0,0,0,Moderne,Magdeburg,,,,,,,,,,,,
002_Heckel_Bucht,1923,DE,,,,,2,Erich Heckel,Bucht,1922,Aquarell auf Papier,"61 × 48,5 cm",,Kaiser-Friedrich-Museum,DE (?),Privatbesitz,1923,vor 1936,CHF,GESCHENK,0,0,0,Moderne,Magdeburg,,,,,,,,,,,,
003_Vlaminck_Maison,1925,CH,,,,,3,Maurice de Vlaminck,Maison à bord de l’eau,um 1920,Öl auf Leinwand,65 × 81 cm,,Wolfsberg,CH (?),Privatbesitz,1925,vor 1936,CHF,1900,1900,1.9,0.0019,Moderne,Zürich,14,12,4. Q,,,,,,,,,
004_Degas_Danseuses_foyer,1936,CH,,,,,4,Edgar Degas,Danseuses au foyer,1895 / 1898,Kohle auf Papier,69 × 53 cm,2vte286,Aktuaryus,CH (?),Privatbesitz,1936,1936,CHF,1800,1800,1.8,0.0018,Moderne,Zürich,17,11,4. Q,Deux danseuses ,NEIN,,,,,,,
005_Friesz_Port_Toulon,1936,CH,,,,,5,Othon Friesz,Port de Toulon,um 1910,Öl auf Leinwand,38 × 46 cm,,Aktuaryus,CH (?),Privatbesitz,1936,1936,CHF,900,900,0.9,0.0009,Moderne,Zürich,17,11,4. Q,,NEIN,,,,,,,
006_Renoir_Nature_morte,1936,CH,,,,,6,Auguste Renoir,Nature morte,,Öl auf Leinwand,,,Aktuaryus,CH (?),Veräusserung,1936,1936,CHF,3300,3300,3.3,0.0033,Moderne,Zürich,17,11,4. Q,,NEIN,,,,,,,
007_Utrillo_Tour_Montmarte,1936,CH,,,,,7,Maurice Utrillo,Tour à Montmartre,1912 / 1914,Öl auf Leinwand,,,Aktuaryus,CH (?),Veräusserung,1936,1936,CHF,6000,6000,6,0.006,Moderne,Zürich,17,11,4. Q,,NEIN,,,,,,,
008_Corot_Foret,1937,CH,,,,,8,Camille Corot,Forêt de Fontainebleau,,Öl auf Leinwand,,,Aktuaryus,CH (?),Veräusserung,1937,1937,CHF,5250,5250,5.25,0.00525,Moderne,Zürich,9,1,1. Q,,NEIN,,,,,,,
009_Daubigny_Au_bords,1937,CH,,,,,9,Charles-François Daubigny,Au bord de l’étang,1873,Öl auf Holz,"44,5 × 23 cm",H. suppl. 180,Aktuaryus,CH (?),Privatbesitz,1937,1937,CHF,3500,3500,3.5,0.0035,Moderne,Zürich,8,2,1. Q,Bords de fleuve ,NEIN,,,,,,,
010_Utrillo_Rue_Mont_Cenis,1937,CH,,,,,10,Maurice Utrillo,Rue du Mont Cenis à Montmartre,um 1912,Öl auf Karton,"55 × 73,5 cm",P.-,Aktuaryus,CH (?),Privatbesitz,1937,1937,CHF,7000,7000,7,0.007,Moderne,Zürich,12,2,1. Q,,NEIN,,,,,,,
011_Pena_Fete,1937,CH,Fälschung,,,,11,Narcisse Virgile Diaz de la Peña (Fälschung),Fête champêtre,,Öl auf Leinwand,28 × 23 cm (oval),,Aktuaryus,CH (?),Privatbesitz,1937,1937,CHF,s. unten,2500,2.5,0.0025,Moderne,Zürich,23,2,1. Q,,NEIN,1,,,,,,
012_Pena_Repos,1937,CH,Fälschung,,,,12,Narcisse Virgile Diaz de la Peña (Fälschung),Repos à la montagne,,Öl auf Leinwand,28 × 23 cm (oval),,Aktuaryus,CH (?),Privatbesitz,1937,1937,CHF,5000,2500,2.5,0.0025,Moderne,Zürich,23,2,1. Q,,NEIN,1,,,,,,
013_Courbet_Gorges_Loue,1937,CH,,,,,13,Gustave Courbet,Les Gorges de la Loue,um 1860 / 1863,Öl auf Leinwand,"74,5 × 101 cm",F.281,Aktuaryus,CH (?),Privatbesitz,1937,1937,CHF,11200,11200,11.2,0.0112,Moderne,Zürich,24,2,1. Q,,NEIN,,,,,,,
