id,x,y
001_Heckel_Alpsee,-6.2361813,9.674142
002_Heckel_Bucht,-6.071905,9.720973
003_Vlaminck_Maison,-8.277611,10.812623
004_Degas_Danseuses_foyer,-2.9653955,5.505916
005_Friesz_Port_Toulon,-8.179718,12.608441
006_Renoir_Nature_morte,-9.143489,4.76358
007_Utrillo_Tour_Montmarte,-9.31115,4.7089596
008_Corot_Foret,-9.484137,4.830829
009_Daubigny_Au_bords,-6.959402,14.105906
010_Utrillo_Rue_Mont_Cenis,-4.9962935,14.680382
011_Pena_Fete,1.0913923,11.158207
012_Pena_Repos,0.9861903,11.096794
013_Courbet_Gorges_Loue,-5.114581,13.340407
014_Gauguin_Route,-12.742306,7.705427
015_Monticelli_Femmes,-1.6174395,6.262874
016_Corot_Quatre_arbres,-11.161124,10.220208
017_Utrillo_Bouquet,-9.279943,4.9365764
018_Sisley_Moret_sur_Loing,-7.7314835,14.066464
019_Pissarro_Bazincourt,-5.5058446,13.03364
020_Renoir_Andree,-1.1901603,1.6589197
021_Monet_Coquelicots_1880,-13.198694,7.4312053
022_Th_Rousseau_Route,-5.2788234,13.5770235
023_Degas_Danseuse_s_habillant,-2.4178178,5.4264545
024_Renoir_Esquisse,-6.2466297,10.796376
025_Cezanne_Paysage_du_nord,-7.6517086,12.156444
026_Corot_Bateau,-11.151168,10.49217
027_Gauguin_Ferme,-5.2366567,12.571091
028_Renoir_Deux_jeunes_filles,-1.2230799,5.114454
029_Cezanne_Sainte_Victoire,-7.1022034,10.17993
030_Gogh_Olivenhain,-6.61992,10.477961
031_Maillol_Ile_de_France,19.055464,2.3081563
032_Fragonard_Venus,1.775413,8.717256
033_Utrillo_Porte_Saint_Martin,-13.450561,8.487965
034_Gogh_Blumenvase,-8.734836,0.8899164
035_Segantini_Muetter,-3.8169587,11.025582
036_Segantini_Strafe,-4.1467924,11.445035
037_Renoir_Lessive,-0.6667924,1.9142628
038_Thoma_Partenkirchen,-5.90149,12.390077
039_Tizian_Madonna,18.979616,6.951209
040_Corot_Richmond,-5.5534277,13.575638
041_Corot_Lecture,-7.4106665,10.960399
042_Manet_Rue_Mosnier,-5.920918,10.033306
043_Utrillo_Place_Pigalle,-4.5481806,15.022113
044_Corinth_Flieder,-6.5100775,8.755913
045_Hofer_Maedchen,-4.5325193,4.593811
046_Marc_Badende,-3.2615669,6.2952642
047_Gogh_Aprikosenbäume,-8.38835,11.624253
